"filename", "language", "JSON", "PHP", "XML", "Markdown", "YAML", "Makefile", "SQL", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 5, 3, 27
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 12, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 8, 3, 33
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-hr.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-hu.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-hy.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-id.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 7, 3, 32
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-it.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-ja.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 13, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-ka.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-ko.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-lt.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-lv.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-mg.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
