Date : 2021-09-22 13:52:36
Directory : c:\xampp\htdocs\bloodbank\app
Total : 1042 files,  136698 codes, 34458 comments, 18686 blanks, all 189842 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\MOCK_DATA-100.json                                                                | JSON       |        100 |          0 |          0 |        100 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\MOCK_DATA.json                                                                    | JSON       |      1,000 |          0 |          0 |      1,000 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\autoload.php                                                                      | PHP        |          3 |          1 |          4 |          8 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\ClassLoader.php                                                          | PHP        |        276 |        153 |         53 |        482 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\InstalledVersions.php                                                    | PHP        |        174 |        118 |         46 |        338 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\autoload_classmap.php                                                    | PHP        |         20 |          1 |          4 |         25 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\autoload_namespaces.php                                                  | PHP        |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\autoload_psr4.php                                                        | PHP        |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\autoload_real.php                                                        | PHP        |         41 |          4 |         13 |         58 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\autoload_static.php                                                      | PHP        |         28 |          1 |          6 |         35 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\installed.json                                                           | JSON       |         81 |          0 |          1 |         82 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\installed.php                                                            | PHP        |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\composer\platform_check.php                                                       | PHP        |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\index.php                                                                         | PHP        |         28 |         10 |         13 |         51 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\README.md                                                        | Markdown   |         63 |          0 |         22 |         85 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\composer.json                                                    | JSON       |         47 |          0 |          1 |         48 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\config\tcpdf_config.php                                          | PHP        |         29 |        159 |         40 |        228 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_1d_html.php                            | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_1d_png.php                             | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_1d_svg.php                             | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_1d_svgi.php                            | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_datamatrix_html.php                 | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_datamatrix_png.php                  | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_datamatrix_svg.php                  | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_datamatrix_svgi.php                 | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_pdf417_html.php                     | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_pdf417_png.php                      | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_pdf417_svg.php                      | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_pdf417_svgi.php                     | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_qrcode_html.php                     | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_qrcode_png.php                      | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_qrcode_svg.php                      | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\example_2d_qrcode_svgi.php                     | PHP        |          4 |         44 |          6 |         54 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\tcpdf_barcodes_1d_include.php                  | PHP        |         17 |         26 |          4 |         47 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\barcodes\tcpdf_barcodes_2d_include.php                  | PHP        |         17 |         26 |          4 |         47 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\config\tcpdf_config_alt.php                             | PHP        |         33 |        152 |         38 |        223 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_001.php                                         | PHP        |         35 |         50 |         22 |        107 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_002.php                                         | PHP        |         26 |         42 |         20 |         88 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_003.php                                         | PHP        |         42 |         52 |         25 |        119 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_004.php                                         | PHP        |         47 |         46 |         29 |        122 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_005.php                                         | PHP        |         51 |         63 |         45 |        159 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_006.php                                         | PHP        |        186 |         81 |         64 |        331 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_007.php                                         | PHP        |         34 |         51 |         29 |        114 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_008.php                                         | PHP        |         28 |         46 |         24 |         98 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_009.php                                         | PHP        |         62 |         53 |         32 |        147 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_010.php                                         | PHP        |         51 |         77 |         23 |        151 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_011.php                                         | PHP        |         63 |         52 |         24 |        139 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_012.php                                         | PHP        |        108 |         58 |         40 |        206 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_013.php                                         | PHP        |        124 |         75 |         31 |        230 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_014.php                                         | PHP        |         93 |         63 |         39 |        195 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_015.php                                         | PHP        |         70 |         55 |         37 |        162 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_016.php                                         | PHP        |         30 |         76 |         29 |        135 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_017.php                                         | PHP        |         36 |         51 |         31 |        118 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_018.php                                         | PHP        |         44 |         53 |         32 |        129 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_019.php                                         | PHP        |         31 |         45 |         23 |         99 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_020.php                                         | PHP        |         58 |         52 |         37 |        147 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_021.php                                         | PHP        |         27 |         44 |         21 |         92 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_022.php                                         | PHP        |         66 |         49 |         32 |        147 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_023.php                                         | PHP        |         42 |         47 |         25 |        114 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_024.php                                         | PHP        |         42 |         62 |         37 |        141 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_025.php                                         | PHP        |         39 |         53 |         27 |        119 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_026.php                                         | PHP        |         59 |         51 |         36 |        146 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_027.php                                         | PHP        |        201 |        102 |        116 |        419 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_028.php                                         | PHP        |         62 |         40 |         37 |        139 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_029.php                                         | PHP        |         50 |         49 |         26 |        125 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_030.php                                         | PHP        |         89 |         60 |         40 |        189 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_031.php                                         | PHP        |         38 |         42 |         24 |        104 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_032.php                                         | PHP        |         30 |         41 |         21 |         92 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_033.php                                         | PHP        |         35 |         41 |         30 |        106 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_034.php                                         | PHP        |         29 |         45 |         23 |         97 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_035.php                                         | PHP        |         44 |         41 |         27 |        112 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_036.php                                         | PHP        |         28 |         42 |         20 |         90 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_037.php                                         | PHP        |         60 |         52 |         36 |        148 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_038.php                                         | PHP        |         30 |         42 |         21 |         93 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_039.php                                         | PHP        |         32 |         47 |         26 |        105 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_040.php                                         | PHP        |         35 |         51 |         31 |        117 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_041.php                                         | PHP        |         28 |         42 |         21 |         91 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_042.php                                         | PHP        |         29 |         49 |         25 |        103 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_043.php                                         | PHP        |         25 |         42 |         19 |         86 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_044.php                                         | PHP        |         49 |         47 |         33 |        129 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_045.php                                         | PHP        |         55 |         52 |         34 |        141 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_046.php                                         | PHP        |         31 |         67 |         26 |        124 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_047.php                                         | PHP        |         42 |         46 |         30 |        118 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_048.php                                         | PHP        |        216 |         51 |         47 |        314 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_049.php                                         | PHP        |         40 |         56 |         31 |        127 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_050.php                                         | PHP        |         77 |         91 |         43 |        211 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_051.php                                         | PHP        |         51 |         63 |         32 |        146 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_052.php                                         | PHP        |         37 |         57 |         28 |        122 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_053.php                                         | PHP        |         42 |         45 |         22 |        109 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_054.php                                         | PHP        |         62 |         45 |         22 |        129 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_055.php                                         | PHP        |         39 |         50 |         27 |        116 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_056.php                                         | PHP        |         52 |         48 |         34 |        134 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_057.php                                         | PHP        |        142 |         64 |         63 |        269 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_058.php                                         | PHP        |         30 |         43 |         22 |         95 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_059.php                                         | PHP        |         70 |         80 |         41 |        191 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_060.php                                         | PHP        |         44 |         44 |         21 |        109 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_061.php                                         | PHP        |        172 |         57 |         36 |        265 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_062.php                                         | PHP        |         43 |         61 |         37 |        141 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_063.php                                         | PHP        |         58 |         46 |         28 |        132 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_064.php                                         | PHP        |         76 |         62 |         39 |        177 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_065.php                                         | PHP        |         32 |         46 |         21 |         99 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\example_066.php                                         | PHP        |         31 |         34 |         22 |         87 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\images\tcpdf_box.svg                                    | XML        |         69 |          0 |          1 |         70 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\images\testsvg.svg                                      | XML        |        326 |          1 |          2 |        329 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\images\tux.svg                                          | XML        |      1,487 |          0 |          1 |      1,488 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\index.php                                               | PHP        |        103 |          0 |         13 |        116 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\afr.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\ara.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\aze.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\bel.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\bra.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\bul.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\cat.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\ces.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\chi.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\cym.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\dan.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\eng.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\est.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\eus.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\far.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\fra.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\ger.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\gle.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\glg.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\hat.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\heb.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\hrv.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\hun.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\hye.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\ind.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\ita.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\jpn.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\kat.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\kor.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\mkd.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\mlt.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\msa.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\nld.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\nob.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\pol.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\por.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\ron.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\rus.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\slv.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\spa.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\sqi.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\srp.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\swa.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\swe.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\ukr.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\urd.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\yid.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\lang\zho.php                                            | PHP        |          7 |         30 |          8 |         45 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\examples\tcpdf_include.php                                       | PHP        |         17 |         27 |          5 |         49 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\aealarabiya.php                                            | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\aefurat.php                                                | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\amali.php                                                  | PHP        |         26 |          0 |          1 |         27 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\cid0cs.php                                                 | PHP        |         14 |          3 |          1 |         18 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\cid0ct.php                                                 | PHP        |         14 |          3 |          1 |         18 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\cid0jp.php                                                 | PHP        |         14 |          3 |          1 |         18 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\cid0kr.php                                                 | PHP        |         14 |          3 |          1 |         18 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\courier.php                                                | PHP        |         10 |          2 |          1 |         13 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\courierb.php                                               | PHP        |         10 |          2 |          1 |         13 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\courierbi.php                                              | PHP        |         10 |          2 |          1 |         13 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\courieri.php                                               | PHP        |         10 |          2 |          1 |         13 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusans.php                                             | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusansb.php                                            | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusansbi.php                                           | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusanscondensed.php                                    | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusanscondensedb.php                                   | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusanscondensedbi.php                                  | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusanscondensedi.php                                   | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusansextralight.php                                   | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusansi.php                                            | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusansmono.php                                         | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusansmonob.php                                        | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusansmonobi.php                                       | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavusansmonoi.php                                        | PHP        |         14 |          2 |          1 |         17 |
| c:\xampp\htdocs\bloodbank\app\lib\PDF\tecnickcom\tcpdf\fonts\dejavuserif.php                                            | PHP        |         14 |          2 |          1 |         17 |
